id,name
811,합의 법칙
812,곱의 법칙
813,순열
814,조합
818,중복순열과 함수
837,독립시행의 확률
839,이산확률변수와 확률질량함수
841,이산확률변수 X의 기댓값(평균)
842,이산확률변수 X의 분산과 표준편차
843,"이산확률변수 aX+b의 평균, 분산, 표준편차"
844,이항분포
971,다항식과 다항식의 곱셈
972,곱셈 공식
974,곱셈 공식의 변형
975,인수
986,"이항분포의 평균, 분산, 표준편차"
987,큰수의 법칙
988,연속확률변수와 확률밀도함수
994,완전제곱식(a^2 +/- 2ab + b^2)의 인수분해
995,이차식(x^2+(a+b)x+ab)의 인수분해
996,이차식(acx^2+(ad+bc)x+bd)의 인수분해
1000,이차방정식
1001,두 수의 곱이 0이 되는 성질(AB=0)
1002,이차방정식의 중근
1009,제곱근을 이용한 이차방정식의 풀이
1010,완전제곱식을 이용한 이차방정식의 풀이
1011,이차방정식의 근의 공식; ax^2+bx+c=0
1014,정규분포 곡선의 성질
1015,표준정규분포
1016,표준정규분포표를 이용하여 확률을 구하는 방법
1106,삼각형의 내접원과 내심
1107,삼각형의 내심의 성질
1108,삼각형의 내심의 응용
1109,평행사변형
1110,평행사변형의 성질
1117,평행사변형이 직사각형이 되는 조건
1120,평행사변형이 마름모가 되는 조건
1137,등차수열의 합이 될 조건
1167,등비수열의 합을 알 때 일반항 쉽게 구하기
1180,닮음
1181,평면도형에서 닮음의 성질
1182,입체도형에서 닮음의 성질
1183,닮음비
1184,삼각형의 닮음 조건
1185,직각삼각형의 닮음
1199,$\sum $를 이용하여 수열의 합을 구하는 방법
1200,삼각형에서 평행선 사이의 선분의 길이의 비
1201,평행선 사이의 선분의 길이의 비
1202,사다리꼴에서 평행선 사이의 선분의 길이의 비
1203,평행선 사이의 선분의 길이의 비의 응용
1204,분수 꼴로 된 수열의 합
1210,함수의 극한에 대한 성질과 관련된 거짓 명제
1211,미분계수를 이용한 극한값의 계산
1212,함수가 미분가능하지 않은 경우
1218,함수의 그래프
1219,다항함수의 그래프의 개형과 극값을 가질 조건
1222,방정식의 실근의 개수
1224,모든 실수에 대하여 성립하는 부등식의 증명
1225,x>a에서 성립하는 부등식의 증명
1226,속도와 가속도
1227,시각에 대한 변화율
1248,이차함수
1249,이차함수 y=ax^2의 그래프의 성질
1250,이차함수 y=ax^2+q의 그래프의 성질
1251,이차함수 y=a(x-p)^2의 그래프의 성질
1252,이차함수 y=a(x-p)^2+q의 그래프의 성질
1253,이차함수 y=ax^2+bx+c의 그래프
1254,"이차함수 $y=ax^2+bx+c의 그래프와 a, b, c의 부호"
1255,유리수의 나눗셈
1256,곱셈 기호의 생략
1257,식의 값
1258,항
1259,동류항
1260,"등식과 좌변, 우변, 양변"
1261,등식의 성질
1262,이항
1263,일차방정식의 활용 문제 풀이
1264,일차방정식의 활용-수에 대한 문제
1266,수직선 위의 점의 위치
1267,그래프
1268,정비례
1269,정비례 관계 y=ax의 그래프
1270,반비례
1271,반비례 관계(y=a/x)의 그래프
1273,"정비례, 반비례 관계의 활용"
1356,유한소수 및 무한소수
1371,부정적분
1372,부정적분과 도함수의 관계
1373,함수 $y=x^n$의 부정적분
1374,부정적분의 성질
1375,정적분
1394,유한소수와 무한소수의 판별
